"sample_id","Homo_zygote_gain","Hemi_zygote_gain","NoChange","Hemi_zygote_loss","Homo_zygote_loss","type_status","HoGain","HeGain","HeLoss","HoLoss","CNV_Changed","Gain","Loss","CNV_D","CNV_Status","Gain_n","Loss_n","Loss_ov_Gain","Loss_eq_Gain","Condition","QuantileThreshold","Cluster"
"TCGA.2A.A8VL.01",0,0,23770,0,1006,TRUE,FALSE,FALSE,FALSE,TRUE,1,FALSE,TRUE,1,2,0,1,TRUE,FALSE,0.040603810138844,"(0.031,0.0836]",2
"TCGA.2A.A8VO.01",0,0,24120,0,656,FALSE,FALSE,FALSE,FALSE,TRUE,1,FALSE,TRUE,1,2,0,1,TRUE,FALSE,0.0264772360348725,"[0,0.031]",1
"TCGA.2A.A8VT.01",0,1313,16088,7373,2,FALSE,FALSE,TRUE,TRUE,FALSE,2,TRUE,TRUE,2,0,1,1,FALSE,FALSE,0.350661930900872,"(0.184,0.791]",4
"TCGA.2A.A8VV.01",8,548,23603,0,617,TRUE,TRUE,TRUE,FALSE,TRUE,3,TRUE,TRUE,2,0,2,1,TRUE,FALSE,0.0473442040684533,"(0.031,0.0836]",2
"TCGA.2A.A8VX.01",10,560,23474,0,732,TRUE,TRUE,TRUE,FALSE,TRUE,3,TRUE,TRUE,2,0,2,1,TRUE,FALSE,0.0525508556667743,"(0.031,0.0836]",2
"TCGA.2A.A8W1.01",0,554,22703,39,1480,TRUE,FALSE,TRUE,FALSE,TRUE,2,TRUE,TRUE,2,0,1,1,TRUE,FALSE,0.0836696803358088,"(0.0836,0.184]",3
"TCGA.2A.A8W3.01",44,465,22527,1729,11,TRUE,TRUE,TRUE,TRUE,FALSE,3,TRUE,TRUE,2,0,2,1,FALSE,FALSE,0.0907733290280917,"(0.0836,0.184]",3
"TCGA.2A.AAYF.01",23,0,24197,0,556,FALSE,TRUE,FALSE,FALSE,TRUE,2,TRUE,TRUE,2,0,1,1,TRUE,FALSE,0.0233693897319987,"[0,0.031]",1
"TCGA.2A.AAYO.01",0,0,24280,495,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,0,0,0,0,TRUE,FALSE,0.0200193735873426,"[0,0.031]",1
"TCGA.2A.AAYU.01",5,0,23747,1010,14,TRUE,TRUE,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,1,1,0,TRUE,FALSE,0.0415321278656765,"(0.031,0.0836]",2
"TCGA.4L.AA1F.01",22,8118,10138,6456,42,FALSE,TRUE,TRUE,TRUE,FALSE,3,TRUE,TRUE,2,0,2,1,FALSE,FALSE,0.590813690668389,"(0.184,0.791]",4
"TCGA.CH.5737.01",13,0,23687,1038,38,TRUE,TRUE,FALSE,TRUE,FALSE,2,TRUE,TRUE,2,0,1,1,TRUE,FALSE,0.0439538262835002,"(0.031,0.0836]",2
"TCGA.CH.5738.01",4,0,24758,0,14,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,0,0,0,0,TRUE,FALSE,0.00072650952534711,"[0,0.031]",1
"TCGA.CH.5739.01",1148,0,22691,935,2,TRUE,TRUE,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,1,1,0,FALSE,FALSE,0.0841540200193736,"(0.0836,0.184]",3
